iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 781, 219, 2000, 720640, 269.197554 
2, 180, 39, 2000, 888285, 329.822630 
3, 9, 30, 2000, 958065, 354.845096 
4, 3, 27, 2000, 1016215, 375.572303 
5, 1, 26, 2000, 1069526, 394.347956 
6, 0, 26, 2000, 1121526, 412.955404 
6, 9, 17, 4000, 1213812, 445.352365 
7, 3, 14, 4000, 1278881, 468.440939 
8, 0, 14, 4000, 1334881, 488.529574 
8, 9, 5, 8000, 1409633, 514.439756 
9, 2, 3, 8000, 1442917, 526.069756 
10, 0, 3, 8000, 1466917, 534.854928 
10, 1, 2, 16000, 1511365, 550.241298 
11, 0, 2, 16000, 1543365, 561.289291 
11, 2, 0, 32000, 1587613, 576.427150 
