iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 781, 219, 2000, 720640, 269.863601 
2, 180, 39, 2000, 888285, 332.357006 
3, 9, 30, 2000, 958065, 358.288884 
4, 3, 27, 2000, 1016215, 379.054770 
5, 1, 26, 2000, 1069526, 398.332589 
6, 0, 26, 2000, 1121526, 417.294136 
