iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 906, 94, 2000, 391832, 245.812998 
2, 85, 9, 2000, 447614, 280.149395 
3, 3, 6, 2000, 462501, 289.102641 
4, 1, 5, 2000, 474382, 296.173560 
5, 0, 5, 2000, 484382, 302.384657 
5, 3, 2, 4000, 500872, 312.144309 
6, 2, 0, 4000, 505684, 314.960508 
