iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 781, 219, 2000, 720640, 268.554911 
2, 180, 39, 2000, 888285, 331.012454 
3, 9, 30, 2000, 958065, 355.925462 
4, 3, 27, 2000, 1016215, 377.028217 
5, 1, 26, 2000, 1069526, 396.053882 
6, 0, 26, 2000, 1121526, 414.405316 
6, 9, 17, 4000, 1213812, 447.556253 
7, 3, 14, 4000, 1278881, 470.679557 
