iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 881, 119, 2000, 459374, 168.295555 
2, 91, 28, 2000, 545778, 199.478336 
3, 6, 22, 2000, 595564, 217.118463 
4, 0, 22, 2000, 639564, 232.694173 
4, 11, 11, 4000, 702594, 255.288270 
5, 6, 5, 4000, 735031, 267.159220 
6, 0, 5, 4000, 755031, 274.296329 
6, 1, 4, 8000, 794380, 288.273217 
7, 2, 2, 8000, 822617, 298.145878 
8, 1, 1, 8000, 833868, 302.160219 
9, 0, 1, 8000, 841868, 304.961463 
9, 0, 1, 16000, 857868, 310.876212 
9, 1, 0, 32000, 883847, 319.920448 
