iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 781, 219, 2000, 720640, 258.574355 
2, 180, 39, 2000, 888285, 319.239437 
3, 9, 30, 2000, 958065, 344.352062 
4, 3, 27, 2000, 1016215, 364.967696 
5, 1, 26, 2000, 1069526, 384.074300 
6, 0, 26, 2000, 1121526, 402.266456 
6, 9, 17, 4000, 1213812, 434.508793 
7, 3, 14, 4000, 1278881, 457.394042 
8, 0, 14, 4000, 1334881, 476.915388 
8, 9, 5, 8000, 1409633, 503.377042 
9, 2, 3, 8000, 1442917, 515.102663 
10, 0, 3, 8000, 1466917, 523.498416 
10, 1, 2, 16000, 1511365, 538.886350 
11, 0, 2, 16000, 1543365, 550.161372 
11, 2, 0, 32000, 1587613, 565.691585 
