iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 781, 219, 2000, 720640, 262.836808 
2, 180, 39, 2000, 888285, 323.537631 
3, 9, 30, 2000, 958065, 348.666743 
4, 3, 27, 2000, 1016215, 369.335615 
5, 1, 26, 2000, 1069526, 388.415848 
6, 0, 26, 2000, 1121526, 407.214383 
6, 9, 17, 4000, 1213812, 439.914836 
7, 3, 14, 4000, 1278881, 463.487127 
8, 0, 14, 4000, 1334881, 483.322397 
8, 9, 5, 8000, 1409633, 509.957382 
9, 2, 3, 8000, 1442917, 521.947861 
10, 0, 3, 8000, 1466917, 530.443481 
10, 1, 2, 16000, 1511365, 545.982880 
11, 0, 2, 16000, 1543365, 557.140162 
11, 2, 0, 32000, 1587613, 573.315017 
